-- Total Memory Allocated --
Total: 19212
-- allocMBList (2397) --
address=0x235acf6, size=9, name=Sigfrid
address=0x2336db3, size=5, name=Sig
address=0x2337d75, size=8, name=Siffre
address=0x23362a1, size=11, name=Siegfried
address=0x2336eaa, size=8, name=Sidney
address=0x233636a, size=8, name=Sidnee
address=0x235a2de, size=5, name=Sid
address=0x2337bac, size=7, name=Sibyl
address=0x2337df4, size=4, name=Si
address=0x2337dea, size=10, name=Shurwood
address=0x23385c2, size=11, name=Shurlocke
address=0x2337aba, size=10, name=Shurlock
address=0x2338975, size=8, name=Sholom
address=0x235a1eb, size=10, name=Sherwynd
address=0x235ab7b, size=10, name=Sherwood
address=0x235a2d5, size=9, name=Sherwin
address=0x2337c2d, size=8, name=Shermy
address=0x2336daa, size=9, name=Shermie
address=0x23382d4, size=9, name=Sherman
address=0x235abc6, size=7, name=Sherm
address=0x2336017, size=11, name=Sherlocke
address=0x233785f, size=10, name=Sherlock
address=0x233814d, size=10, name=Sheridan
address=0x23360b0, size=10, name=Shepperd
address=0x2336c48, size=10, name=Sheppard
address=0x2338651, size=10, name=Shepherd
address=0x2337425, size=9, name=Shepard
address=0x235a0d3, size=6, name=Shep
address=0x235b159, size=6, name=Shem
address=0x233882a, size=9, name=Shelton
address=0x235a154, size=9, name=Shelley
address=0x233694b, size=7, name=Shell
address=0x23389e2, size=9, name=Shelden
address=0x23381eb, size=8, name=Shelby
address=0x235aa8a, size=8, name=Sheffy
address=0x23385b0, size=11, name=Sheffield
address=0x23369dc, size=9, name=Sheffie
address=0x235afcd, size=7, name=Sheff
address=0x235a9ee, size=6, name=Shea
address=0x2336cf7, size=8, name=Shayne
address=0x235a7fd, size=6, name=Shay
address=0x23373b7, size=7, name=Shawn
address=0x235a4e5, size=6, name=Shaw
address=0x235a67e, size=7, name=Shaun
address=0x235a045, size=9, name=Shaughn
address=0x233751e, size=9, name=Shannon
address=0x233771e, size=9, name=Shannan
address=0x2336d66, size=7, name=Shane
address=0x23379d9, size=8, name=Shanan
address=0x2337994, size=8, name=Shamus
address=0x233874c, size=8, name=Shalom
address=0x2336598, size=8, name=Shaine
address=0x235a9a1, size=6, name=Shae
address=0x2336164, size=8, name=Shadow
address=0x23374ca, size=9, name=Seymour
address=0x2337567, size=8, name=Seward
address=0x2336971, size=8, name=Seumas
address=0x235aead, size=6, name=Seth
address=0x2336d52, size=8, name=Sergio
address=0x23361eb, size=9, name=Sergent
address=0x23376d3, size=8, name=Sergei
address=0x235a34a, size=10, name=Sergeant
address=0x2338032, size=7, name=Serge
address=0x2337974, size=7, name=Selig
address=0x2336309, size=7, name=Selby
address=0x235ac6a, size=5, name=See
address=0x235a17c, size=11, name=Sebastien
address=0x2336c7d, size=12, name=Sebastiano
address=0x2337774, size=11, name=Sebastian
address=0x2337004, size=6, name=Sean
address=0x2338493, size=8, name=Seamus
address=0x23366eb, size=8, name=Scotty
address=0x23380cb, size=9, name=Scottie
address=0x2336567, size=8, name=Scotti
address=0x235b0a1, size=7, name=Scott
address=0x233617a, size=6, name=Scot
address=0x235aafd, size=10, name=Schuyler
address=0x233896b, size=10, name=Scarface
address=0x235ae5f, size=8, name=Sayres
address=0x23362e0, size=7, name=Sayre
address=0x235b24b, size=8, name=Sayers
address=0x235af3a, size=7, name=Sayer
address=0x233805c, size=5, name=Say
address=0x235b074, size=7, name=Saxon
address=0x235a6e4, size=6, name=Saxe
address=0x235aad6, size=5, name=Sax
address=0x23370cc, size=9, name=Sawyere
address=0x2337ad7, size=8, name=Sawyer
address=0x2336d40, size=5, name=Saw
address=0x235b170, size=9, name=Sauveur
address=0x23372f6, size=9, name=Saundra
address=0x235a9c3, size=12, name=Saunderson
address=0x2336349, size=10, name=Saunders
address=0x23386b4, size=9, name=Saunder
address=0x23377a3, size=9, name=Sauncho
address=0x235a4b5, size=6, name=Saul
address=0x23387e4, size=7, name=Sasha
address=0x235a120, size=8, name=Sascha
address=0x2336122, size=9, name=Sargent
address=0x2337d56, size=7, name=Sarge
address=0x23377fc, size=9, name=Sansone
address=0x235a1a4, size=8, name=Sanson
address=0x2337cfc, size=9, name=Sanford
address=0x2336087, size=7, name=Sandy
address=0x235a38a, size=8, name=Sandro
address=0x235aabf, size=8, name=Sandor
address=0x23373a6, size=11, name=Sanderson
address=0x2337bf3, size=9, name=Sanders
address=0x23389b3, size=8, name=Sander
address=0x2336318, size=8, name=Sancho
address=0x23361b1, size=9, name=Samuele
address=0x2336f2f, size=8, name=Samuel
address=0x235a942, size=8, name=Samson
address=0x2336b4c, size=9, name=Sampson
address=0x2337254, size=7, name=Sammy
